objectid,filename,youtubeid,visualization.html,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,From,To,Coordinate_From,Coordinates_To,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
CLAIRE_001,CLAIRE_001_Town Plan Enugu.jpg,,,1961 Town Plan Enugu,image/jpeg,"This map of Enugu, drawn in 1961 illustrates the spatial organization of the city, including key infrastructure such as collieries, labor camps, and administrative layouts. It reflects the colonial authorities' prioritization of resource extraction and go",The Nigerian Federal Ministry Of Commerce And Industry,Enugu people and the public,1961,yes,Map/jpeg,Land Dispossession; Alienation; Resource control; Environmental Justice;,"Enugu, Nigeria",,"6.5244, 7.5086 ",,,Handbook Of Commerce And Industry In Nigeria Created By The Nigerian Federal Ministry Of Commerce And Industry.,IU Library,Handbook of commerce and industry in Nigeria : map supplement | Search Results | IUCAT,G2695 .N54 1961,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_002,CLAIRE_002_Coal Stalk_Udi Colliery.png,,,Coal Stalk_Udi Colliery,image/png,"This photograph of coal stacks at the Udi Colliery illustrates the scale of colonial resource extraction and the labor-intensive nature of coal production during the colonial era. The image, showing indigenous workers standing atop the coal stacks, highli","British Empire & Commonwealth Collection, Bristol Archives",Enugu people and the public,1920,yes,single-page; image,Land Dispossession; Alienation; Resource control; Environmental Justice;,"Enugu, Nigeria",,"6.5244, 7.5086 ",,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_003,CLAIRE_003_Pit Boys_Udi Colliery.png,,,Pit Boys Udi Colliery,image/png,"This photograph of ""Native hewers, locally called pit boys,"" at the Udi Colliery illustrates the labor exploitation and power dynamics inherent in colonial mining practices. The image captures indigenous workers performing grueling manual labor under colo","British Empire & Commonwealth Collection, Bristol Archives",Enugu people and the public,1920,yes,single-page; image,Land Dispossession; Alienation; Resource control; Environmental Justice;,"Enugu, Nigeria",,"6.5244, 7.5086 ",,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_004,CLAIRE_004_Onyeama Mines.png,,,Onyeama Mines Landscape,image/png,This aerial image of Onyeama coal mine site at Enugu visually illustrates the physical scars left on the landscape by colonial mining activities. The barren paths cutting through lush vegetation reflect the environmental degradation and land transformatio,"British Empire & Commonwealth Collection, Bristol Archives",Enugu people and the public,1920,yes,single-page; image,Land Dispossession; Alienation; Resource control; Environmental Justice;,"Enugu, Nigeria",,"6.5244, 7.5086 ",,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_005,CLAIRE_005_Enugu Coal Site.png,,,Enugu Coal Site,image/png,"This photograph of the Udi Colliery, showing the tip wall at the foot of an incline, captures the infrastructural development associated with colonial mining activities. It illustrates the physical transformation of the landscape for coal extraction, a pr","British Empire & Commonwealth Collection, Bristol Archives",Enugu people and the public,1920,yes,single-page; image,Land Dispossession; Alienation; Resource control; Environmental Justice;,"Enugu, Nigeria",,"6.5244, 7.5086 ",,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_006,CLAIRE_006_Udi Coal Fields.png,,,Udi Coal Fields,image/png,This photograph of stacks of coal at Udi  illustrates the scale of colonial resource extraction and its central role in the dispossession of indigenous lands. The image represents the material wealth generated by exploiting Enugu's coal resources while sy,"British Empire & Commonwealth Collection, Bristol Archives",Enugu people and the public,1920,yes,single-page; image,Land Dispossession; Alienation; Resource control; Environmental Justice;,"Enugu, Nigeria",,"6.5244, 7.5086 ",,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_007,CLAIRE_007_Udi Coal Mines.png,,,Udi Coal Mines,image/png,"This 1957 map of Enugu colliery visually represents the spatial concentration of natural resources that were central to colonial resource extraction policies. It underscores the economic motivations for land appropriation by colonial authorities, where va","British Empire & Commonwealth Collection, Bristol Archives",Enugu people and the public,1957,yes,single-page; image,Land Dispossession; Alienation; Resource control; Environmental Justice;,"Enugu, Nigeria",,"6.5244, 7.5086 ",,,Federal Survey Department of Nigeria Maps,"Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_008,CLAIRE_008_Udi Colliery.png,,,Udi Colliery,image/png,"This photograph of the Udi Colliery Adit visually captures the colonial exploitation of indigenous lands and labor, the image depicts miners and their working conditions. symbolizing the power dynamics of indigenes in a colonial appropiated setting illust","British Empire & Commonwealth Collection, Bristol Archives",Enugu people and the public,1920,,single-page; image,Land Dispossession; Alienation; Resource control; Environmental Justice;,"Enugu, Nigeria",,"6.5244, 7.5086 ",,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_009,CLAIRE_009_Udi Colliery Shewing Exit.png,,,Udi Colliery Shewing Exit,image/png,This photograph of the Udi Colliery Adit depicts miners at work offering a powerful visual representation of the exploitation and control exercised over indigenous lands and labor during the colonial period. It highlights the physical and economic transfo,"British Empire & Commonwealth Collection, Bristol Archives",Enugu people and the public,1920,yes,single-page; image,Land Dispossession; Alienation; Resource control; Environmental Justice;,"Enugu, Nigeria",,"6.5244, 7.5086 ",,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_010,CLAIRE_010_Udi Colliery.png,,,Udi Colliery ,image/png,"This historical photograph of the Udi Colliery Adit, showing miners and colonial supervisors, vividly illustrates the labor conditions and power dynamics central to colonial resource extraction in Enugu. It highlights how colonial authorities appropriated","British Empire & Commonwealth Collection, Bristol Archives",Enugu people and the public,1920,yes,single-page; image,Land Dispossession; Alienation; Resource control; Environmental Justice;,"Enugu, Nigeria",,"6.5244, 7.5086 ",,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
