objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
CLAIRE_001,001_Town Plan Enugu.jpeg,,1961 Town Plan Enugu,image/jpeg,"This map of Enugu, drawn in 1961 illustrates the spatial organization of the city, including key infrastructure such as collieries, labor camps, and administrative layouts. It reflects the colonial authorities' prioritization of resource extraction and governance over the well-being of indigenous communities. The segmentation of the city into industrial zones, residential areas, and labor camps highlights how land was appropriated and restructured to serve colonial economic interests, often at the expense of indigenous populations.",The Nigerian Federal Ministry Of Commerce And Industry,Enugu people and the public,1961,yes,Map/jpeg,"Land Dispossession, Alienation, Resource control, Environmental Justice; Delinquent; Students; Lessons","Enugu, Nigeria",6.5244,7.5086,,Handbook Of Commerce And Industry In Nigeria Created By The Nigerian Federal Ministry Of Commerce And Industry.,IU Library,Handbook of commerce and industry in Nigeria : map supplement | Search Results | IUCAT,G2695 .N54 1961,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_002,002_Coal Stalk_Udi Colliery.jpeg,,Coal Stalk_Udi Colliery,image/jpeg,"This photograph of coal stacks at the Udi Colliery illustrates the scale of colonial resource extraction and the labor-intensive nature of coal production during the colonial era. The image, showing indigenous workers standing atop the coal stacks, highlights the exploitation of local labor and the commodification of natural resources extracted from dispossessed indigenous lands. ","British Empire & Commonwealth Collection, Bristol Archives",Enugu people and the public,1914-1920,yes,single-page; image,"Land Dispossession, Alienation, Resource control, Environmental Justice; Delinquent; Students; Lessons","Enugu, Nigeria",6.5244,7.5086,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_003,003_Pit Boys_Udi Colliery.jpeg,,Pit Boys Udi Colliery,image/jpeg,"This photograph of ""Native hewers, locally called pit boys,"" at the Udi Colliery illustrates the labor exploitation and power dynamics inherent in colonial mining practices. The image captures indigenous workers performing grueling manual labor under colonial oversight, symbolizing the broader system of dispossession where lands were appropriated, and local populations were coerced into working in extractive industries. ","British Empire & Commonwealth Collection, Bristol Archives",Enugu people and the public,1914-1920,yes,single-page; image,"Land Dispossession, Alienation, Resource control, Environmental Justice; Delinquent; Students; Lessons","Enugu, Nigeria",6.5244,7.5086,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_004,004_Onyeama Mines.jpeg,,Onyeama Mines Landscape,image/jpeg,This aerial image of Onyeama coal mine site at Enugu visually illustrates the physical scars left on the landscape by colonial mining activities. The barren paths cutting through lush vegetation reflect the environmental degradation and land transformation caused by resource extraction during the colonial era. ,"British Empire & Commonwealth Collection, Bristol Archives",Enugu people and the public,1914-1920,yes,single-page; image,"Land Dispossession, Alienation, Resource control, Environmental Justice; Delinquent; Students; Lessons","Enugu, Nigeria",6.5244,7.5086,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_005,005_Enugu Coal Site.jpeg,,Enugu Coal Site,image/jpeg,"This photograph of the Udi Colliery, showing the tip wall at the foot of an incline, captures the infrastructural development associated with colonial mining activities. It illustrates the physical transformation of the landscape for coal extraction, a process that often involved the expropriation of indigenous lands and the displacement of local communities. ","British Empire & Commonwealth Collection, Bristol Archives",Enugu people and the public,1914-1920,yes,single-page; image,"Land Dispossession, Alienation, Resource control, Environmental Justice; Delinquent; Students; Lessons","Enugu, Nigeria",6.5244,7.5086,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_006,006_Udi Coal Fields.jpeg,,Udi Coal Fields,image/jpeg,This photograph of stacks of coal at Udi  illustrates the scale of colonial resource extraction and its central role in the dispossession of indigenous lands. The image represents the material wealth generated by exploiting Enugu's coal resources while symbolizing the loss and displacement experienced by local communities. ,"British Empire & Commonwealth Collection, Bristol Archives",Enugu people and the public,1914-1920,yes,single-page; image,"Land Dispossession, Alienation, Resource control, Environmental Justice; Delinquent; Students; Lessons","Enugu, Nigeria",6.5244,7.5086,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_007,007_Udi Coal Mines.jpeg,,Udi Coal Mines,image/jpeg,"This 1957 map of Enugu colliery visually represents the spatial concentration of natural resources that were central to colonial resource extraction policies. It underscores the economic motivations for land appropriation by colonial authorities, where vast tracts of land were seized for mining activities, displacing indigenous communities and disrupting their traditional relationship with the land. ","British Empire & Commonwealth Collection, Bristol Archives",Enugu people and the public,1957,yes,single-page; image,"Land Dispossession, Alienation, Resource control, Environmental Justice; Delinquent; Students; Lessons","Enugu, Nigeria",6.5244,7.5086,,Federal Survey Department of Nigeria Maps,"Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_008,008_Udi Colliery.jpeg,,Udi Colliery,image/jpeg,"This photograph of the Udi Colliery Adit visually captures the colonial exploitation of indigenous lands and labor, the image depicts miners and their working conditions. symbolizing the power dynamics of indigenes in a colonial appropiated setting illustrating the broader socio-economic consequences of displacement, loss of land, and disruption of indigenous livelihoods.","British Empire & Commonwealth Collection, Bristol Archives",Enugu people and the public,1914-1920,,single-page; image,"Land Dispossession, Alienation, Resource control, Environmental Justice; Delinquent; Students; Lessons","Enugu, Nigeria",6.5244,7.5086,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_009,009_Udi Colliery Shewing Exit.jpeg,,Udi Colliery Shewing Exit,image/jpeg,"This photograph of the Udi Colliery Adit depicts miners at work offering a powerful visual representation of the exploitation and control exercised over indigenous lands and labor during the colonial period. It highlights the physical and economic transformations imposed on local landscapes, where colonial authorities appropriated lands for resource extraction while subjecting indigenous workers to harsh conditions. These materials provide a nuanced lens to explore the intersections of colonial land dispossession, labor exploitation, and indigenous resistance.","British Empire & Commonwealth Collection, Bristol Archives",Enugu people and the public,1914-1920,yes,single-page; image,"Land Dispossession, Alienation, Resource control, Environmental Justice; Delinquent; Students; Lessons","Enugu, Nigeria",6.5244,7.5086,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_010,010_Udi Colliery.jpeg,,Udi Colliery ,image/jpeg,"This historical photograph of the Udi Colliery Adit, showing miners and colonial supervisors, vividly illustrates the labor conditions and power dynamics central to colonial resource extraction in Enugu. It highlights how colonial authorities appropriated indigenous lands and exploited local labor for coal mining.","British Empire & Commonwealth Collection, Bristol Archives",Enugu people and the public,1914-1920,yes,single-page; image,"Land Dispossession, Alienation, Resource control, Environmental Justice; Delinquent; Students; Lessons","Enugu, Nigeria",6.5244,7.5086,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_011,011_Udi Colliery_Shearing Enclave.jpeg,,Udi Colliery Shearing Enclave,image/jpeg,"This historical photograph of the Udi Colliery captures the physical transformation of the land for coal mining, symbolizing the processes of colonial land dispossession and resource exploitation in Enugu. The image visually illustrates the infrastructural imposition of colonial mining activities, which often disregarded indigenous land rights and disrupted local livelihoods. ","British Empire & Commonwealth Collection, Bristol Archives",Enugu people and the public,1914-1920,yes,single-page; image,"Land Dispossession, Alienation, Resource control, Environmental Justice; Delinquent; Students; Lessons","Enugu, Nigeria",6.5244,7.5086,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_012,012_Location of Industry.tif,,Location of Industry,image/jpeg,The  geographic locations of industries provides a spatial visualization of the distribution of colonial industrial activities such as mining in Enugu. This is relevant to understanding colonial land dispossession and reasons for indigenous resistance. This visual and narrative elements enrich the understanding of how colonial industries restructured indigenous landscapes and lives.,The Nigerian Federal Ministry Of Commerce And Industry,Enugu people and the public,1961,yes,single-page; image,"Land Dispossession, Alienation, Resource control, Environmental Justice; Delinquent; Students; Lessons","Enugu, Nigeria",6.5244,7.5086,,Handbook Of Commerce And Industry In Nigeria Created By The Nigerian Federal Ministry Of Commerce And Industry.,IU Library,Handbook of commerce and industry in Nigeria : map supplement | Search Results | IUCAT,G2695 .N54 1961,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_013,013_Data Time Record.csv,,Data Time Record,csv,"This dataset which records events, claims, and actors involved in colonial land disputes in Enugu, is instrumental for understanding the historical processes of dispossession and indigenous resistance.  The data highlight the dynamics of colonial policies that expropriated indigenous lands for resource extraction and the varied ways communities resisted these actions, whether through hostility against surveyors, petitions, or enduring cultural resilience. The combination of data and storytelling allows for a richer analysis of the socio-economic and political impacts of colonial land dispossession.",Uzoamaka Nwachukwu,Enugu people and the public,2024,yes,single-page; text,"Land Dispossession, Alienation, Resource control, Environmental Justice; Delinquent; Students; Lessons","Enugu, Nigeria",6.5244,7.5086,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
CLAIRE_014,014_Coal at Onyeama Mines Enugu.jpeg,,Coal at Onyeama Mines Enugu,image/jpeg,"This image depicts coal deposits at the Onyeama Mines in Enugu, It visually underscores the legacy of colonial resource extraction and the material basis of land dispossession in the region. It illustrates how colonial control over natural resources disrupted indigenous land ownership, livelihoods, and autonomy, while also highlighting local resistance and resilience in reclaiming narratives tied to the land and its resources.","Robinson, Frank B.",Enugu people and the public,1914-1920,,single-page; image,"Land Dispossession, Alienation, Resource control, Environmental Justice; Delinquent; Students; Lessons","Enugu, Nigeria",6.5244,7.5086,,"British Empire & Commonwealth Collection, Bristol Archives","Bristol Archives, Crown Agent Photographs",Nigerian Eastern Railway showing route from Port Harcourt to Udi Coal Fields,1999/221/1/61,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
